selecteer,uuid,entity_thumb,ft_fotonummer,photoid,ft_datum_jaar,ft_omschrijving,auteursrechten_vervaardiger_naam
,0002b837-fbc3-4c06-b32e-82d16ac1b3f1,,{0.29277},{HGA001402132},1991,"Hollanderstraat nrs. 2-14, links de Koningin Emmakade","Kempff, P.G."
,00048757-ca4a-44b1-b9ba-10e6ba31c80e,,{0.65299},{HGA001437291},1976,"Spinozastraat, bouwactiviteiten tussen de straat en de Gortmolen, gezien vanaf de brug Paviljoensgracht richting Zuid","Kempff, P.G."
,0009628b-533a-4745-a7ee-2e5181087739,,{0.36985},{HGA001406809},1975,"Kemperstraat, gezien naar het Oranjeplein","Kempff, P.G."
,000c72e5-26d6-483f-90f7-a75dd6344050,,{1.17552},{HGA001054846},1968,"Demonstratie van jongeren onder auspiciën van het Haags Jongeren Parlement tegen de inval in Tsjecho-Slowakije. De heer W. Gielen overhandigt in het gebouw van de Tsjechische ambassade aan de Parkweg een sympathiebetuiging aan de eerste secretaris, de heer Joseph Pospisil",Stokvis
,0014eca2-d78f-4d1f-a079-9463d60db3f4,,{820427},{HGA001256052},1988,"Luchtfoto Zuiderpark en omgeving, gezien in noordwestelijke richting. Onderaan de Melis Stokelaan. Linksonder de Loevesteinlaan.",Delta-Phot
,0015d06d-9fb6-4404-a2a5-a83681de1572,,{1.61707},{HGA001001702},1966,"Mr. A.J. Dankelman, wethouder",Stokvis
,0027835d-51c3-4d95-8e1f-bb924572e84f,,{0.06753},{HGA001032611},1978,Antonie Duyckstraat nrs. 93-89,"Kempff, P.G."
,002af3be-7c73-4d93-8315-cba8db0115b6,,{0.63617},{HGA001435616},1979,"Scheveningseweg, begraafplaats 'Ter Navolging'","Kempff, P.G."
,002cc7ac-a05d-4bf4-b59c-811449483d6e,,{870149},{HGA001301749},1980,"Boulevard, Vrijetijdscentrum met golfslagbad; interieur van het zwembad met strandje",Stokvis
,002dbf11-646a-47e9-b8a6-76e70d09c914,,{870741},{HGA001870741},1975,"Bankastraat, Alexanderhof, tuinzijde","Paans, M."
,0031ee42-bbd3-41df-82fe-acc46e251b37,,{0.78773},{HGA001250856},1963,"Zeekant, hoek Kerkwerf (Keizerstraat), Hotel Restaurant Rauch, gezien vanaf het strand",Stokvis
,0034fbed-329a-4c5f-8c15-1fbf2314c2dd,,{0.36839},{HGA001406663},1983,"Keizerstraat nrs. 27-19. Met nr. 25, waar vroeger de noodkerk van de parochie St. Antonius Abt (Kerkwerf) stond","Kempff, P.G."
,0037a8de-b15a-49c0-a3dd-9950aae1db23,,{0.68267},{HGA001441034},1982,"Stortstraat nrs. 58-72, hoek Wiekstraat","Kempff, P.G."
,00396dda-65a7-4896-b838-07ed1c2e4909,,{0.36459},{HGA001406284},1980,"Keggestraat nrs. 81-51 (l.) en nrs. 70-84, gezien van de Vosmaerstraat","Kempff, P.G."
,004f36af-485a-4d88-9627-7069d778d28b,,{6.02309},{HGA001133037},1994,'t Hoenstraat nr. 5,"Kempff, P.G."
,005ceac0-1fe0-423d-bdd5-9f6631afb91f,,{0.20439},{HGA001064413},1976,"Gedempte Sloot, gezien van de Noordwal naar de Bakkersstraat","Kempff, P.G."
,006263e3-b30e-4ac0-ab4c-a9e828a40c99,,{6.02325},{HGA001133053},1994,"Bachmanstraat nrs. 13-33, tussen de Emantsstraat (rechts) en de Van der Haerstraat","Kempff, P.G."
